label_id,column_name,display_name,risk_level,category,definition,examples,special_cases
public,Public,Public,None,Public,Image does not contain identifiable privacy-related information or visually observable privacy-sensitive cues.,"No identifiable privacy-sensitive object, scene, or individual cue.","If any concrete privacy category is present, Public should be removed."
personal_information_h,Personal Information-H,Personal Information-H,High,Personal Information,"Reveals highly identifiable personal information that can directly identify an individual, especially when clear identity documents, biometric identifiers, or explicit identifiers are visible.","[Object] Unmasked ID card, passport, driver license, bank card number, license plate, contact information, fingerprint, iris, palm print. [Individual] Clear face/name/birth date combination linked to an identity document.","If an ID document is partially masked but still exposes a clear face plus name or birth date, label as High."
financial_information_h,Financial Information-H,Financial Information-H,High,Financial Information,Reveals sensitive financial records or clearly identifiable wealth/poverty status associated with an individual.,"[Object] Unmasked bank card, bankbook, bank statement, financial account, transaction record, luxury jewelry, luxury watch, luxury bag, expensive logo items, car keys. [Scene] Luxury mansion, luxury car scene, yacht, wealth-display scene, poverty scene, begging scene. [Individual] Identifiable person driving/owning a vehicle or wearing multiple luxury items.","If two or more financial cues co-occur, such as vehicle + house + jewelry, label as High. If ownership is clear through context, vehicles can be High."
sensitive_behaviors_h,Sensitive Behaviors-H,Sensitive Behaviors-H,High,Sensitive Behaviors,"Shows clearly sensitive, harmful, sexual, violent, illegal, or socially stigmatizing behavior by an identifiable individual.","[Object] Gun, drug-related object, alcohol bottles in extreme drunkenness context, sexualized objects. [Scene] Violence scene, drug-use scene, sexual activity scene. [Individual] Clear face with nudity, sexual activity, sexual pose, breastfeeding exposure, violence, self-harm, drug use, extreme drunken behavior, highly abnormal behavior.","For violence, High is preferred when involved persons are identifiable. Underwear-like clothing or key body-part exposure is High."
health_condition_h,Health Condition-H,Health Condition-H,High,Health Condition,"Reveals clearly identifiable and highly sensitive health-related information, such as severe illness, disability, medical treatment, or serious injury associated with an individual.","[Object] Wheelchair, crutches, respirator, dialysis machine, syringe, medical device, X-ray, medical record, medicine for sensitive disease. [Scene] Hospital ward, ICU, isolation room, critical-care scene. [Individual] Clear face with disability, severe wound, hair loss from treatment, patient lying in bed with medical devices, identifiable sick minor.","High-risk health labels should emphasize identifiable individuals, such as a clear face or strong body/person linkage."
sensitive_location_h,Sensitive Location-H,Sensitive Location-H,High,Sensitive Location,Reveals an identifiable or inferable sensitive location through clear place-specific visual cues.,"[Object] Road sign, address, shop name, station sign, landmark sign, school bus, location marker. [Scene] Complete building exterior, identifiable landmark, community venue, home courtyard, street with unique signs.","If signs, shop names, road names, landmarks, or complete distinctive buildings are visible, label High. If a minor appears and location cues are clear, risk increases."
sensitive_relationships_h,Sensitive Relationships-H,Sensitive Relationships-H,High,Sensitive Relationships,"Reveals intimate, family, close social, or sensitive relationships between identifiable people.","[Object] Wedding objects, rings if tied to clear relationship context, group affiliation markers. [Scene] Wedding scene, family scene, intimate social scene, class/team context with strong relation evidence. [Individual] Hugging, kissing, linking arms, close face-to-face pose, parent-child relation, intimate couple, cheerful close group photo, identifiable student class photo.","If people have physical contact and clear faces, use High. Clear parent-child or romantic relationship is High."
sensitive_occupations_h,Sensitive Occupations-H,Sensitive Occupations-H,High,Sensitive Occupations,"Reveals a sensitive or institutionally important occupation through identifiable uniforms, equipment, scenes, or role-specific context.","[Object] Police car, military vehicle, military equipment, prison equipment, medical equipment, official organization logo. [Scene] Prison, military site, police scene, hospital work scene, biochemical lab, official podium with flags. [Individual] Police officer, soldier, doctor, pilot/captain, astronaut, scientist in lab, important public speaker.","Uniforms and equipment are strong cues. Doctors, police, military, prisons, labs, and high-level official contexts are treated as High."
religious_beliefs_h,Religious Beliefs-H,Religious Beliefs-H,High,Religious Beliefs,"Reveals explicit religious identity, affiliation, or participation by an identifiable individual.","[Object] Cross necklace, Buddhist symbol, religious symbol, religious clothing. [Scene] Church, temple, ritual scene, worship/prayer scene. [Individual] Monk robe, priest clothing, religious headscarf, Sikh turban, Muslim attire, praying, kneeling, religious gesture.","High is appropriate when religious clothing, symbols, or religious actions clearly indicate personal belief or participation."
sensitive_interests_h,Sensitive Interests-H,Sensitive Interests-H,High,Sensitive Interests,"Reveals highly sensitive interests, preferences, ideological affiliations, sexual-orientation-related cues, gambling, political participation, or stigmatized hobbies by identifiable individuals.","[Object] Protest sign, LGBTQ flag, gambling machine, money in card/mahjong scene, whip, politically expressive object. [Scene] Protest, political activity, gambling scene, LGBTQ-related activity, highly subcultural scene. [Individual] Cross-dressing, same-sex intimacy, extreme clothing/makeup, sensitive cosplay pose, gambling participation, political/environmental activism.","High requires a sensitive interest or activity and preferably an identifiable participant. If only the scene is sensitive but the person is not participating, consider Low."
personal_space_h,Personal Space-H,Personal Space-H,High,Personal Space,"Reveals private living environments or intimate personal spaces with identifiable personal-life details, especially when the space contains strong private cues.","[Object] Bed, scattered clothes, personal belongings, many household items. [Scene] Bedroom, bathroom, messy home interior, private room, car interior with personal context. [Individual] Person sleeping/lying in bed, person in pajamas or homewear, person in a cluttered private living space.",Presence of a bed is often treated as High. Messy or highly personalized interiors strengthen High risk.
minors_h,Minors-H,Minors-H,High,Minors,"Contains an identifiable minor, especially when the face is clearly visible or the minor is linked to other privacy-sensitive objects, scenes, or behaviors.","[Object] School items if linked to child identity, child-related personal objects. [Scene] School/class scene with identifiable children, child activity scene. [Individual] Clear child face, infant, teenager, schoolchild with identifiable face.","If a clear minor face appears, label High. If combined with other privacy categories, keep both Minors-H and the relevant category."
personal_information_l,Personal Information-L,Personal Information-L,Low,Personal Information,Reveals weak or indirect identity-related cues that may identify a person but do not expose highly sensitive identity records.,"[Object] Name tag, signature, student ID, visible name plate. [Individual] Clear face only, portrait photo, ethnic clothing, flag-related identity cues, visible tattoos.","If no other category applies but a clear personal-life photo contains an identifiable face, this can be Personal Information-L."
financial_information_l,Financial Information-L,Financial Information-L,Low,Financial Information,Shows general financial or economic-status cues without strong identifiability or clear ownership.,"[Object] Ordinary car, motorcycle, jewelry, watch, luxury logo, house, vehicle. [Scene] Person near a car, ordinary house, worn living environment, street sleeping scene.","If financial ownership is uncertain or the person's face is incomplete, prefer Low."
sensitive_behaviors_l,Sensitive Behaviors-L,Sensitive Behaviors-L,Low,Sensitive Behaviors,"Shows lower-sensitivity personal behavior, mildly inappropriate behavior, or contextual behavior cues without strong sensitivity or full identifiability.","[Object] Cigarette, alcohol glass/bottle, musical instrument, sports item. [Scene] Party, massage/foot bath, grooming scene, dim bar-like context. [Individual] Smoking, drinking, sleeping, sneezing, stretching, grooming, shirtless male, swimsuit, middle-finger gesture, partially visible violence.","If clothing is revealing but socially acceptable, such as swimwear, use Low. If face is incomplete in a violent scene, prefer Low."
health_condition_l,Health Condition-L,Health Condition-L,Low,Health Condition,"Shows general or weak health-related cues that suggest discomfort, minor injury, pregnancy, treatment, or poor health without highly sensitive or clearly identifiable disease information.","[Object] Mask, infusion tube, medicine-taking object, bandage, dental tools. [Scene] Clinic, dental visit, ordinary hospital bed, general health-related scene. [Individual] Pregnancy, obesity, thinness, depressed expression, minor bleeding wound, painful expression, person in patient clothing.","Pregnancy, minor injury, vaccination/injection, poor mental state, and dental treatment generally fall here unless severe/identifiable sensitive illness is clear."
sensitive_location_l,Sensitive Location-L,Sensitive Location-L,Low,Sensitive Location,Shows general or weakly identifiable location information that suggests a place but does not strongly identify it.,"[Object] Partial building, generic transport object. [Scene] Airport, train station, bus/subway interior, tourist scene, beach, forest, ordinary scenery.",Tourist photos and general scenic places are usually Low unless precise identifying cues are visible.
sensitive_relationships_l,Sensitive Relationships-L,Sensitive Relationships-L,Low,Sensitive Relationships,Shows weaker social relationship cues without strong intimacy or sensitivity.,"[Object] Ring, work badge, matching uniforms, relationship-indicating object. [Scene] Group photo, business event, meeting, wedding/party context without intimacy, family gathering. [Individual] Ordinary group photo, handshake, conversation, classmates, colleagues, non-intimate friends.",General group photos or business interactions are Low unless closeness or intimacy is visually strong.
